2015-03-18 19:03:10 startup archives install
2015-03-18 19:03:10 install base-passwd:armhf <none> 3.5.26
2015-03-18 19:03:10 status half-installed base-passwd:armhf 3.5.26
2015-03-18 19:03:10 status unpacked base-passwd:armhf 3.5.26
2015-03-18 19:03:10 status unpacked base-passwd:armhf 3.5.26
2015-03-18 19:03:10 configure base-passwd:armhf 3.5.26 3.5.26
2015-03-18 19:03:10 status unpacked base-passwd:armhf 3.5.26
2015-03-18 19:03:10 status half-configured base-passwd:armhf 3.5.26
2015-03-18 19:03:11 status installed base-passwd:armhf 3.5.26
2015-03-18 19:03:11 startup archives install
2015-03-18 19:03:11 install base-files:armhf <none> 7.1wheezy8
2015-03-18 19:03:11 status half-installed base-files:armhf 7.1wheezy8
2015-03-18 19:03:11 status unpacked base-files:armhf 7.1wheezy8
2015-03-18 19:03:11 status unpacked base-files:armhf 7.1wheezy8
2015-03-18 19:03:11 configure base-files:armhf 7.1wheezy8 7.1wheezy8
2015-03-18 19:03:11 status unpacked base-files:armhf 7.1wheezy8
2015-03-18 19:03:11 status unpacked base-files:armhf 7.1wheezy8
2015-03-18 19:03:11 status unpacked base-files:armhf 7.1wheezy8
2015-03-18 19:03:11 status unpacked base-files:armhf 7.1wheezy8
2015-03-18 19:03:11 status unpacked base-files:armhf 7.1wheezy8
2015-03-18 19:03:11 status unpacked base-files:armhf 7.1wheezy8
2015-03-18 19:03:11 status unpacked base-files:armhf 7.1wheezy8
2015-03-18 19:03:11 status half-configured base-files:armhf 7.1wheezy8
2015-03-18 19:03:14 status installed base-files:armhf 7.1wheezy8
2015-03-18 19:03:14 startup archives install
2015-03-18 19:03:14 upgrade dpkg 1.16.15 1.16.15
2015-03-18 19:03:14 status half-configured dpkg 1.16.15
2015-03-18 19:03:14 status unpacked dpkg 1.16.15
2015-03-18 19:03:14 status half-installed dpkg 1.16.15
2015-03-18 19:03:15 status half-installed dpkg 1.16.15
2015-03-18 19:03:15 status unpacked dpkg 1.16.15
2015-03-18 19:03:15 status unpacked dpkg 1.16.15
2015-03-18 19:03:15 configure dpkg 1.16.15 1.16.15
2015-03-18 19:03:15 status unpacked dpkg 1.16.15
2015-03-18 19:03:15 status unpacked dpkg 1.16.15
2015-03-18 19:03:15 status unpacked dpkg 1.16.15
2015-03-18 19:03:15 status unpacked dpkg 1.16.15
2015-03-18 19:03:15 status unpacked dpkg 1.16.15
2015-03-18 19:03:15 status half-configured dpkg 1.16.15
2015-03-18 19:03:15 status installed dpkg 1.16.15
2015-03-18 19:03:16 startup archives install
2015-03-18 19:03:16 install libc6:armhf <none> 2.13-38+deb7u6
2015-03-18 19:03:16 status half-installed libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:17 status unpacked libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:17 status unpacked libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:17 configure libc6:armhf 2.13-38+deb7u6 2.13-38+deb7u6
2015-03-18 19:03:17 status unpacked libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:17 status unpacked libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:17 status half-configured libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:20 status installed libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:20 startup archives install
2015-03-18 19:03:20 install perl-base:armhf <none> 5.14.2-21+deb7u2
2015-03-18 19:03:20 status half-installed perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:22 status unpacked perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:22 status unpacked perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:22 configure perl-base:armhf 5.14.2-21+deb7u2 5.14.2-21+deb7u2
2015-03-18 19:03:22 status unpacked perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:22 status half-configured perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:22 status installed perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:22 startup archives install
2015-03-18 19:03:22 install mawk:armhf <none> 1.3.3-17
2015-03-18 19:03:22 status half-installed mawk:armhf 1.3.3-17
